Domain,Table,Field,Type,Constraints,Notes / Enum Values
Classification and Configuration,product_conditions,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,cash_movement_types,id,bigint,"primary key, auto-increment",
Classification and Configuration,cash_movement_types,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,cash_movement_types,name,string,null: false,
Classification and Configuration,cash_movement_types,code,string,null: false; unique with organization_id,
Classification and Configuration,cash_movement_types,direction,string,null: false,"cash_in, cash_out."
Classification and Configuration,cash_movement_types,requires_approval,boolean,"null: false, default: true",
Classification and Configuration,cash_movement_types,requires_reference,boolean,"null: false, default: true",
Classification and Configuration,cash_movement_types,active,boolean,"null: false, default: true",
Classification and Configuration,cash_movement_types,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,cash_movement_types,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,discount_reasons,id,bigint,"primary key, auto-increment",
Classification and Configuration,discount_reasons,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,discount_reasons,name,string,null: false,
Classification and Configuration,discount_reasons,code,string,null: false; unique with organization_id,
Classification and Configuration,discount_reasons,default_calculation_method,string,null: false,"percentage, fixed_amount, fixed_price."
Classification and Configuration,discount_reasons,default_rate_bps,integer,,Used when default method is percentage.
Classification and Configuration,discount_reasons,default_amount_cents,integer,,Used when default method is fixed_amount or fixed_price.
Classification and Configuration,discount_reasons,maximum_rate_bps,integer,,Maximum merchandise rate permitted for this reason; user authority is separate.
Classification and Configuration,discount_reasons,requires_approval,boolean,"null: false, default: true",
Classification and Configuration,discount_reasons,resulting_return_policy_id,bigint,FK: return_policies,"Optional policy imposed by the discount, such as final sale."
Classification and Configuration,discount_reasons,active,boolean,"null: false, default: true",
Classification and Configuration,discount_reasons,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,discount_reasons,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,return_policies,id,bigint,"primary key, auto-increment",
Classification and Configuration,return_policies,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,return_policies,name,string,null: false,
Classification and Configuration,return_policies,code,string,null: false; unique with organization_id,
Classification and Configuration,return_policies,final_sale,boolean,"null: false, default: false",
Classification and Configuration,return_policies,return_window_days,smallint,,Null where no time limit applies or returns are prohibited.
Classification and Configuration,return_policies,active,boolean,"null: false, default: true",
Classification and Configuration,return_policies,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,return_policies,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,return_reasons,id,bigint,"primary key, auto-increment",
Classification and Configuration,return_reasons,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,return_reasons,name,string,null: false,
Classification and Configuration,return_reasons,code,string,null: false; unique with organization_id,
Classification and Configuration,return_reasons,default_return_disposition,string,,"Optional suggestion: return_to_stock, inspection_required, damaged, return_to_vendor, discard, non_inventory."
Classification and Configuration,return_reasons,active,boolean,"null: false, default: true",
Classification and Configuration,return_reasons,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,return_reasons,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,tax_categories,id,bigint,"primary key, auto-increment",
Classification and Configuration,tax_categories,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,tax_categories,name,string,null: false; unique with organization_id,
Classification and Configuration,tax_categories,code,string,null: false; unique with organization_id,
Classification and Configuration,tax_categories,active,boolean,"null: false, default: true",
Classification and Configuration,tax_categories,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,tax_categories,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,store_tax_rates,id,bigint,"primary key, auto-increment",
Classification and Configuration,store_tax_rates,store_id,bigint,"FK: stores, null: false",
Classification and Configuration,store_tax_rates,name,string,"null: false, limit: 40",
Classification and Configuration,store_tax_rates,code,string,null: false; unique with store_id,
Classification and Configuration,store_tax_rates,receipt_code,string,"null: false, limit: 3",Short identifier printed on receipts.
Classification and Configuration,store_tax_rates,jurisdiction_name,string,,
Classification and Configuration,store_tax_rates,rate,"decimal(10,8)",null: false,Decimal rate; 0.13000000 represents 13%.
Classification and Configuration,store_tax_rates,effective_from,date,,
Classification and Configuration,store_tax_rates,effective_to,date,,
Classification and Configuration,store_tax_rates,active,boolean,"null: false, default: true",
Classification and Configuration,store_tax_rates,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,store_tax_rates,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,store_tax_rules,id,bigint,"primary key, auto-increment",
Classification and Configuration,store_tax_rules,tax_category_id,bigint,"FK: tax_categories, null: false",
Classification and Configuration,store_tax_rules,store_tax_rate_id,bigint,"FK: store_tax_rates, null: false",The rate identifies the store.
Classification and Configuration,store_tax_rules,taxable_fraction,"decimal(10,8)","null: false, default: 1",1.0 means fully taxable.
Classification and Configuration,store_tax_rules,calculation_order,smallint,"null: false, default: 0",Calculation and receipt display order.
Classification and Configuration,store_tax_rules,compounds_on_prior_tax,boolean,"null: false, default: false",
Classification and Configuration,store_tax_rules,effective_from,date,,
Classification and Configuration,store_tax_rules,effective_to,date,,
Classification and Configuration,store_tax_rules,active,boolean,"null: false, default: true",
Classification and Configuration,store_tax_rules,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,store_tax_rules,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,stored_value_adjustment_reasons,id,bigint,"primary key, auto-increment",
Classification and Configuration,stored_value_adjustment_reasons,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,stored_value_adjustment_reasons,name,string,null: false,
Classification and Configuration,stored_value_adjustment_reasons,code,string,null: false; unique with organization_id,
Classification and Configuration,stored_value_adjustment_reasons,active,boolean,"null: false, default: true",
Classification and Configuration,stored_value_adjustment_reasons,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,stored_value_adjustment_reasons,updated_at,datetime,null: false,Rails timestamp.
Classification and Configuration,tender_types,id,bigint,"primary key, auto-increment",
Classification and Configuration,tender_types,organization_id,bigint,"FK: organizations, null: false",
Classification and Configuration,tender_types,tender_category,string,null: false,"cash, card, check, stored_value, other."
Classification and Configuration,tender_types,name,string,null: false,
Classification and Configuration,tender_types,code,string,null: false; unique with organization_id,
Classification and Configuration,tender_types,shortcut,string,limit: 3; unique with organization_id,Optional POS keyboard shortcut.
Classification and Configuration,tender_types,payment_enabled,boolean,"null: false, default: true",
Classification and Configuration,tender_types,refund_enabled,boolean,"null: false, default: true",
Classification and Configuration,tender_types,allows_over_tender,boolean,"null: false, default: false",
Classification and Configuration,tender_types,provides_change,boolean,"null: false, default: false",
Classification and Configuration,tender_types,reference_1_requirement,string,"null: false, default: none","none, optional, required."
Classification and Configuration,tender_types,reference_1_label,string,limit: 20,
Classification and Configuration,tender_types,reference_1_mask,string,,
Classification and Configuration,tender_types,reference_2_requirement,string,"null: false, default: none","none, optional, required."
Classification and Configuration,tender_types,reference_2_label,string,limit: 20,
Classification and Configuration,tender_types,reference_2_mask,string,,
Classification and Configuration,tender_types,active,boolean,"null: false, default: true",
Classification and Configuration,tender_types,created_at,datetime,null: false,Rails timestamp.
Classification and Configuration,tender_types,updated_at,datetime,null: false,Rails timestamp.
Organization and Authorization,permissions,id,bigint,"primary key, auto-increment",
Organization and Authorization,permissions,code,string,"null: false, unique","Examples: pos.complete_transaction, inventory.release_reservation."
Organization and Authorization,permissions,name,string,null: false,
Organization and Authorization,permissions,description,text,,
Organization and Authorization,permissions,permission_group,string,,"Administrative grouping such as pos, inventory, catalog, purchasing."
Organization and Authorization,permissions,active,boolean,"null: false, default: true",
Organization and Authorization,permissions,created_at,datetime,null: false,Rails timestamp.
Organization and Authorization,permissions,updated_at,datetime,null: false,Rails timestamp.
Organization and Authorization,roles,id,bigint,"primary key, auto-increment",
Organization and Authorization,roles,organization_id,bigint,"FK: organizations, null: false",
Organization and Authorization,roles,code,string,null: false; unique with organization_id,
Organization and Authorization,roles,name,string,null: false; unique with organization_id,
Organization and Authorization,roles,description,text,,
Organization and Authorization,roles,system_template,boolean,"null: false, default: false",
Organization and Authorization,roles,active,boolean,"null: false, default: true",
Organization and Authorization,roles,created_at,datetime,null: false,Rails timestamp.
Organization and Authorization,roles,updated_at,datetime,null: false,Rails timestamp.
Organization and Authorization,role_permissions,id,bigint,"primary key, auto-increment",
Organization and Authorization,role_permissions,role_id,bigint,"FK: roles, null: false; unique with permission_id",
Organization and Authorization,role_permissions,permission_id,bigint,"FK: permissions, null: false; unique with role_id",
Organization and Authorization,role_permissions,created_at,datetime,null: false,Rails timestamp.
Organization and Authorization,role_permissions,updated_at,datetime,null: false,Rails timestamp.
Organization and Authorization,users,id,bigint,"primary key, auto-increment",
Organization and Authorization,users,username,string,"null: false, unique",
Organization and Authorization,users,user_number,integer,unique,Human-facing employee or user number.
Organization and Authorization,users,first_name,string,,
Organization and Authorization,users,last_name,string,,
Organization and Authorization,users,email,string,,
Organization and Authorization,users,password_digest,string,,
Organization and Authorization,users,pin_digest,string,,
Organization and Authorization,users,default_store_id,bigint,FK: stores,Navigation convenience; does not grant access.
Organization and Authorization,users,active,boolean,"null: false, default: true",
Organization and Authorization,users,locked_at,datetime,,Temporary authentication lock state.
Organization and Authorization,users,last_login_at,datetime,,
Organization and Authorization,users,failed_login_attempts,integer,"null: false, default: 0",
Organization and Authorization,users,password_changed_at,datetime,,
Organization and Authorization,users,pin_changed_at,datetime,,
Organization and Authorization,users,created_at,datetime,null: false,Rails timestamp.
Organization and Authorization,users,updated_at,datetime,null: false,Rails timestamp.
Organization and Authorization,store_memberships,id,bigint,"primary key, auto-increment",
Organization and Authorization,store_memberships,user_id,bigint,"FK: users, null: false; unique with store_id",
Organization and Authorization,store_memberships,store_id,bigint,"FK: stores, null: false; unique with user_id",
Organization and Authorization,store_memberships,role_id,bigint,"FK: roles, null: false",
Organization and Authorization,store_memberships,active,boolean,"null: false, default: true",
Organization and Authorization,store_memberships,starts_on,date,,
Organization and Authorization,store_memberships,ends_on,date,,
Organization and Authorization,store_memberships,maximum_discount_rate,"decimal(10,8)",,Membership override; role or store default applies when null.
Organization and Authorization,store_memberships,maximum_discount_amount_cents,integer,,
Organization and Authorization,store_memberships,maximum_price_override_rate,"decimal(10,8)",,
Organization and Authorization,store_memberships,maximum_cash_refund_cents,integer,,
Organization and Authorization,store_memberships,maximum_no_receipt_return_cents,integer,,
Organization and Authorization,store_memberships,maximum_paid_out_cents,integer,,
Organization and Authorization,store_memberships,cash_variance_review_threshold_cents,integer,,
Organization and Authorization,store_memberships,assigned_by_user_id,bigint,FK: users,
Organization and Authorization,store_memberships,created_at,datetime,null: false,Rails timestamp.
Organization and Authorization,store_memberships,updated_at,datetime,null: false,Rails timestamp.
Organization and Authorization,organizations,id,bigint,"primary key, auto-increment",
Organization and Authorization,organizations,code,string,"null: false, unique",
Organization and Authorization,organizations,name,string,null: false,
Organization and Authorization,organizations,legal_name,string,,
Organization and Authorization,organizations,default_currency_code,string,"null: false, limit: 3",ISO 4217.
Organization and Authorization,organizations,default_timezone,string,null: false,IANA time-zone identifier.
Organization and Authorization,organizations,active,boolean,"null: false, default: true",
Organization and Authorization,organizations,created_at,datetime,null: false,Rails timestamp.
Organization and Authorization,organizations,updated_at,datetime,null: false,Rails timestamp.
Organization and Authorization,stores,id,bigint,"primary key, auto-increment",
Organization and Authorization,stores,organization_id,bigint,"FK: organizations, null: false",
Organization and Authorization,stores,code,string,null: false; unique with organization_id,Stable operational code; string preserves leading zeroes.
Organization and Authorization,stores,store_number,string,unique with organization_id,Optional human-facing number where distinct from code.
Organization and Authorization,stores,name,string,null: false,
Organization and Authorization,stores,legal_name,string,,
Organization and Authorization,stores,address_line_1,string,,
Organization and Authorization,stores,address_line_2,string,,
Organization and Authorization,stores,city,string,,
Organization and Authorization,stores,region,string,,"State, province, or region."
Organization and Authorization,stores,postal_code,string,limit: 12,
Organization and Authorization,stores,country_code,string,limit: 2,ISO 3166-1 alpha-2.
Organization and Authorization,stores,phone,string,limit: 30,
Organization and Authorization,stores,email,string,,
Organization and Authorization,stores,san_number,string,limit: 8,"Standard Address Number, where applicable."
Organization and Authorization,stores,timezone,string,null: false,IANA time-zone identifier.
Organization and Authorization,stores,currency_code,string,"null: false, limit: 3",ISO 4217.
Organization and Authorization,stores,receipt_header,text,,
Organization and Authorization,stores,receipt_footer,text,,
Organization and Authorization,stores,active,boolean,"null: false, default: true",
Organization and Authorization,stores,created_at,datetime,null: false,Rails timestamp.
Organization and Authorization,stores,updated_at,datetime,null: false,Rails timestamp.
Point of Sale,business_days,id,bigint,"primary key, auto-increment",
Point of Sale,business_days,store_id,bigint,"FK: stores, null: false",
Point of Sale,business_days,business_date,date,null: false; unique with store_id,
Point of Sale,business_days,status,string,"null: false, default: open","open, closed, reconciled."
Point of Sale,business_days,opened_at,datetime,null: false,
Point of Sale,business_days,opened_by_user_id,bigint,FK: users,
Point of Sale,business_days,closed_at,datetime,,
Point of Sale,business_days,closed_by_user_id,bigint,FK: users,
Point of Sale,business_days,reconciled_at,datetime,,
Point of Sale,business_days,reconciled_by_user_id,bigint,FK: users,
Point of Sale,business_days,z_report_number,string,,
Point of Sale,business_days,created_at,datetime,null: false,Rails timestamp.
Point of Sale,business_days,updated_at,datetime,null: false,Rails timestamp.
Organization and Authorization,pos_devices,id,bigint,"primary key, auto-increment",
Organization and Authorization,pos_devices,store_id,bigint,"FK: stores, null: false",
Organization and Authorization,pos_devices,code,string,null: false; unique with store_id,
Organization and Authorization,pos_devices,name,string,null: false,
Organization and Authorization,pos_devices,device_type,string,"null: false, default: register","register, mobile_pos, back_office, self_checkout."
Organization and Authorization,pos_devices,active,boolean,"null: false, default: true",
Organization and Authorization,pos_devices,last_seen_at,datetime,,
Organization and Authorization,pos_devices,created_at,datetime,null: false,Rails timestamp.
Organization and Authorization,pos_devices,updated_at,datetime,null: false,Rails timestamp.
Organization and Authorization,cash_drawers,id,bigint,"primary key, auto-increment",
Organization and Authorization,cash_drawers,store_id,bigint,"FK: stores, null: false",
Organization and Authorization,cash_drawers,code,string,null: false; unique with store_id,
Organization and Authorization,cash_drawers,name,string,null: false,
Organization and Authorization,cash_drawers,active,boolean,"null: false, default: true",
Organization and Authorization,cash_drawers,created_at,datetime,null: false,Rails timestamp.
Organization and Authorization,cash_drawers,updated_at,datetime,null: false,Rails timestamp.
Point of Sale,pos_sessions,id,bigint,"primary key, auto-increment",
Point of Sale,pos_sessions,business_day_id,bigint,"FK: business_days, null: false",
Point of Sale,pos_sessions,store_id,bigint,"FK: stores, null: false",Retained explicitly for validation and reporting.
Point of Sale,pos_sessions,pos_device_id,bigint,"FK: pos_devices, null: false",
Point of Sale,pos_sessions,cash_drawer_id,bigint,FK: cash_drawers,Null for card-only sessions.
Point of Sale,pos_sessions,responsible_user_id,bigint,FK: users,Primary accountable user; transaction cashier is stored separately.
Point of Sale,pos_sessions,session_number,string,null: false; unique with store_id,
Point of Sale,pos_sessions,status,string,"null: false, default: open","open, closed, reconciled."
Point of Sale,pos_sessions,opened_at,datetime,null: false,
Point of Sale,pos_sessions,opened_by_user_id,bigint,FK: users,
Point of Sale,pos_sessions,closed_at,datetime,,
Point of Sale,pos_sessions,closed_by_user_id,bigint,FK: users,
Point of Sale,pos_sessions,reconciled_at,datetime,,
Point of Sale,pos_sessions,reconciled_by_user_id,bigint,FK: users,
Point of Sale,pos_sessions,opening_cash_cents,integer,,
Point of Sale,pos_sessions,expected_cash_cents,integer,,
Point of Sale,pos_sessions,counted_cash_cents,integer,,
Point of Sale,pos_sessions,cash_variance_cents,integer,,
Point of Sale,pos_sessions,z_report_number,string,,
Point of Sale,pos_sessions,created_at,datetime,null: false,Rails timestamp.
Point of Sale,pos_sessions,updated_at,datetime,null: false,Rails timestamp.
Point of Sale,pos_session_cash_counts,id,bigint,"primary key, auto-increment",
Point of Sale,pos_session_cash_counts,pos_session_id,bigint,"FK: pos_sessions, null: false",
Point of Sale,pos_session_cash_counts,count_type,string,null: false,"opening, closing, manager_recount, reconciled."
Point of Sale,pos_session_cash_counts,total_cents,integer,null: false,
Point of Sale,pos_session_cash_counts,denomination_detail,json,,Optional denomination quantities and totals.
Point of Sale,pos_session_cash_counts,counted_by_user_id,bigint,"FK: users, null: false",
Point of Sale,pos_session_cash_counts,counted_at,datetime,null: false,
Point of Sale,pos_session_cash_counts,created_at,datetime,null: false,Rails timestamp.
Catalog and Products,products,id,bigint,"primary key, auto-increment",
Catalog and Products,products,organization_id,bigint,"FK: organizations, null: false",
Catalog and Products,products,identifier,string,null: false; unique with organization_id,"Canonical ISBN-13/EAN-13, UPC-A, other approved trade identifier, or ShelfStack 29-prefix local identifier."
Catalog and Products,products,alternate_identifier,string,indexed; not unique,Optional alternate lookup value; ISBN-10 is not stored solely for lookup.
Catalog and Products,products,identifier_generated,boolean,"null: false, default: false",
Catalog and Products,products,identifier_validation_status,string,"null: false, default: valid","valid, warning, unknown, not_applicable."
Catalog and Products,products,identifier_warning,text,,
Catalog and Products,products,name,string,null: false,Universal product name; UI may label this Title for books.
Catalog and Products,products,subtitle,string,,
Catalog and Products,products,description,text,,
Catalog and Products,products,features,text,,
Catalog and Products,products,internal_notes,text,,
Catalog and Products,products,product_type,string,null: false,"book, recorded_music, video, periodical, game, stationery, gift, cafe, service, other."
Catalog and Products,products,product_format_id,bigint,"FK: product_formats, null: false",
Catalog and Products,products,default_department_id,bigint,FK: departments,
Catalog and Products,products,default_tax_category_id,bigint,FK: tax_categories,
Catalog and Products,products,merchandise_class_id,bigint,FK: merchandise_classes,"Primary merchandising assignment; required before sale eligibility for ordinary merchandise, nullable for incomplete or non-merchandise records."
Catalog and Products,products,variant_structure,string,"null: false, default: single","single, options, matrix."
Catalog and Products,products,list_price_cents,integer,,External list price or MSRP; null where not applicable or unknown.
Catalog and Products,products,publisher_or_manufacturer_name,string,,String retained until publisher/manufacturer party model is designed.
Catalog and Products,products,imprint_or_brand_name,string,,
Catalog and Products,products,publication_or_release_date,date,,
Catalog and Products,products,publication_status,string,,"active, not_yet_published, out_of_print, out_of_stock_indefinitely, cancelled, postponed."
Catalog and Products,products,edition_type,string,,"Examples: illustrated, large_print, revised, signed_edition."
Catalog and Products,products,edition_description,string,,
Catalog and Products,products,series_name,string,,
Catalog and Products,products,series_number,string,,Supports values such as 1.5 or Volume II.
Catalog and Products,products,audience_range_type,string,,"age, grade."
Catalog and Products,products,audience_range_from,smallint,,
Catalog and Products,products,audience_range_to,smallint,,
Catalog and Products,products,page_count,integer,,
Catalog and Products,products,language_code,string,,Prefer ISO language code.
Catalog and Products,products,previous_edition_product_id,bigint,FK: products,
Catalog and Products,products,next_edition_product_id,bigint,FK: products,
Catalog and Products,products,height_inches,"decimal(8,3)",,
Catalog and Products,products,width_inches,"decimal(8,3)",,
Catalog and Products,products,depth_inches,"decimal(8,3)",,
Catalog and Products,products,weight_pounds,"decimal(8,3)",,
Catalog and Products,products,discountability_setting,string,"null: false, default: inherit","inherit, allowed, not_allowed, approval_required."
Catalog and Products,products,returnability_setting,string,"null: false, default: inherit","inherit, allowed, not_allowed, approval_required."
Catalog and Products,products,status,string,"null: false, default: active","active, inactive, discontinued."
Catalog and Products,products,sellable,boolean,"null: false, default: true",
Catalog and Products,products,available_from,date,,
Catalog and Products,products,available_until,date,,
Catalog and Products,products,created_at,datetime,null: false,Rails timestamp.
Catalog and Products,products,updated_at,datetime,null: false,Rails timestamp.
Catalog and Products,product_variants,id,bigint,"primary key, auto-increment",
Catalog and Products,product_variants,product_id,bigint,"FK: products, null: false",
Catalog and Products,product_variants,sku,string,"null: false, unique",ShelfStack-generated 28-prefix EAN-13 SKU.
Catalog and Products,product_variants,name,string,null: false,Use Standard where the product has one implicit variant.
Catalog and Products,product_variants,description,text,,
Catalog and Products,product_variants,inventory_tracking_mode,string,"null: false, default: quantity","quantity, individual, none."
Catalog and Products,product_variants,default_product_condition_id,bigint,FK: product_conditions,Default for quantity stock and newly created inventory units.
Catalog and Products,product_variants,regular_price_cents,integer,,Current normal selling price; null blocks ordinary sale.
Catalog and Products,product_variants,department_id,bigint,FK: departments,Optional override of product default.
Catalog and Products,product_variants,tax_category_id,bigint,FK: tax_categories,Optional override of product default.
Catalog and Products,product_variants,merchandise_class_id,bigint,FK: merchandise_classes,Optional override of the Product's primary Merchandise Class.
Catalog and Products,product_variants,discountability_setting,string,"null: false, default: inherit","inherit, allowed, not_allowed, approval_required."
Catalog and Products,product_variants,returnability_setting,string,"null: false, default: inherit","inherit, allowed, not_allowed, approval_required."
Catalog and Products,product_variants,return_policy_id,bigint,FK: return_policies,
Catalog and Products,product_variants,status,string,"null: false, default: active","active, inactive, discontinued."
Catalog and Products,product_variants,sellable,boolean,"null: false, default: true",
Catalog and Products,product_variants,purchasable,boolean,"null: false, default: true",
Catalog and Products,product_variants,available_from,date,,
Catalog and Products,product_variants,available_until,date,,
Catalog and Products,product_variants,created_at,datetime,null: false,Rails timestamp.
Catalog and Products,product_variants,updated_at,datetime,null: false,Rails timestamp.
Catalog and Products,product_options,id,bigint,"primary key, auto-increment",
Catalog and Products,product_options,product_id,bigint,"FK: products, null: false; unique with name",
Catalog and Products,product_options,name,string,null: false,"Examples: Size, Color, Binding."
Catalog and Products,product_options,position,smallint,"null: false, default: 0",
Catalog and Products,product_options,created_at,datetime,null: false,Rails timestamp.
Catalog and Products,product_options,updated_at,datetime,null: false,Rails timestamp.
Catalog and Products,product_option_values,id,bigint,"primary key, auto-increment",
Catalog and Products,product_option_values,product_option_id,bigint,"FK: product_options, null: false; unique with value",
Catalog and Products,product_option_values,value,string,null: false,"Examples: Large, Blue, Hardcover."
Catalog and Products,product_option_values,position,smallint,"null: false, default: 0",
Catalog and Products,product_option_values,created_at,datetime,null: false,Rails timestamp.
Catalog and Products,product_option_values,updated_at,datetime,null: false,Rails timestamp.
Catalog and Products,product_variant_option_values,id,bigint,"primary key, auto-increment",
Catalog and Products,product_variant_option_values,product_variant_id,bigint,"FK: product_variants, null: false; unique with product_option_value_id",
Catalog and Products,product_variant_option_values,product_option_value_id,bigint,"FK: product_option_values, null: false; unique with product_variant_id",
Catalog and Products,product_variant_option_values,created_at,datetime,null: false,Rails timestamp.
Catalog and Products,product_variant_option_values,updated_at,datetime,null: false,Rails timestamp.
Product Requests,product_requests,id,bigint,"primary key, auto-increment",
Product Requests,product_requests,store_id,bigint,"FK: stores, null: false",Store scope; Organization is implied by Store.
Product Requests,product_requests,request_type,string,null: false,"customer_request, staff_suggestion."
Product Requests,product_requests,status,string,"null: false, default: open","open, fulfilled, declined, cancelled, closed."
Product Requests,product_requests,product_id,bigint,FK: products,Nullable until the requested Product is resolved.
Product Requests,product_requests,product_variant_id,bigint,FK: product_variants,Nullable until an exact Variant is required or resolved.
Product Requests,product_requests,requested_description,string,,Required when product_id is null; preserves the staff/customer wording used to begin the request.
Product Requests,product_requests,requested_quantity,integer,null: false,Must be greater than zero. Active Reservation plus Allocation coverage must not exceed this value without an explicit quantity change.
Product Requests,product_requests,priority,string,"null: false, default: normal","normal, high, urgent."
Product Requests,product_requests,needed_by_on,date,,
Product Requests,product_requests,customer_reference,string,,Nullable opaque v1 customer reference; no customers table is implemented in this phase.
